epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.6156,1.47651,3.76156,1.07514,0.73588,0.09446,0.15627,0.10373,1.15051,2.68355,0.92097,0.00019402,0.00019402,0.00019402
2,865.137,1.16387,2.23118,0.97744,0.65174,0.18956,0.18604,0.125,1.09161,1.72834,0.91609,0.000351408,0.000351408,0.000351408
3,1551.79,1.10207,1.94508,0.94372,0.74366,0.23261,0.19385,0.13296,0.99828,1.52809,0.90381,0.000469988,0.000469988,0.000469988
4,1621.89,1.05258,1.81303,0.94632,0.75923,0.24472,0.23801,0.16869,1.0083,1.47512,0.89834,0.000413364,0.000413364,0.000413364
5,1692.93,1.03438,1.73016,0.92938,0.66581,0.23209,0.24506,0.18268,0.93796,1.39892,0.88753,0.000355152,0.000355152,0.000355152
6,1762.52,0.98472,1.61635,0.91644,0.89587,0.20624,0.27012,0.20286,0.92343,1.29712,0.89345,0.00029694,0.00029694,0.00029694
7,1831.79,0.96126,1.51233,0.91397,0.8695,0.23739,0.24416,0.1833,0.92904,1.27231,0.88446,0.000238728,0.000238728,0.000238728
8,1902.46,0.93584,1.48632,0.90285,0.89641,0.22159,0.25142,0.18806,0.89538,1.23774,0.8781,0.000180516,0.000180516,0.000180516
9,1972.04,0.91579,1.42987,0.90179,0.90415,0.2284,0.25743,0.19647,0.89932,1.16282,0.88037,0.000122304,0.000122304,0.000122304
10,2043.56,0.90592,1.38663,0.89641,0.91953,0.22115,0.2704,0.20422,0.88363,1.15372,0.87478,6.4092e-05,6.4092e-05,6.4092e-05
