epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,364.305,1.15566,2.42595,0.97918,0.82163,0.16355,0.15929,0.12389,0.81901,1.47673,0.87047,0.00019514,0.00019514,0.00019514
2,730.725,0.9184,1.48991,0.91353,0.90408,0.17537,0.17489,0.13867,0.77318,1.26527,0.86519,0.000365325,0.000365325,0.000365325
3,1093.55,0.8638,1.32857,0.89935,0.91317,0.17353,0.19463,0.16101,0.72242,1.26434,0.85691,0.000509638,0.000509638,0.000509638
4,1461,0.82888,1.23954,0.89604,0.50975,0.24282,0.23241,0.19418,0.70548,1.11026,0.85228,0.000471576,0.000471576,0.000471576
5,1834.62,0.80335,1.1598,0.88854,0.44104,0.2761,0.23192,0.1866,0.72079,1.13161,0.85303,0.000432768,0.000432768,0.000432768
6,3944.91,0.7716,1.13143,0.86919,0.4827,0.35118,0.25426,0.2046,0.70535,1.01902,0.85186,0.00039396,0.00039396,0.00039396
7,6475.35,0.74494,1.04703,0.86279,0.63326,0.26565,0.27813,0.23241,0.69341,0.92993,0.85266,0.000355152,0.000355152,0.000355152
8,6857.44,0.72427,0.9804,0.86026,0.76129,0.23727,0.27035,0.2266,0.67834,0.90265,0.84792,0.000316344,0.000316344,0.000316344
9,8010,0.7049,0.93113,0.85352,0.78974,0.26114,0.29166,0.23706,0.6754,0.86704,0.84741,0.000277536,0.000277536,0.000277536
10,8378.99,0.69167,0.88552,0.85046,0.45799,0.34541,0.29532,0.24296,0.65923,0.86697,0.84495,0.000238728,0.000238728,0.000238728
11,8748.12,0.68057,0.84924,0.84791,0.67326,0.27877,0.33677,0.27017,0.65721,0.81019,0.84247,0.00019992,0.00019992,0.00019992
12,9103.26,0.67201,0.8154,0.84583,0.70178,0.28902,0.33049,0.27216,0.64287,0.80245,0.84301,0.000161112,0.000161112,0.000161112
13,9462.12,0.66434,0.78901,0.84768,0.69661,0.29319,0.35778,0.29252,0.63674,0.76547,0.84256,0.000122304,0.000122304,0.000122304
14,9825.16,0.64534,0.76496,0.84234,0.48854,0.29802,0.33885,0.28173,0.63332,0.75208,0.83859,8.3496e-05,8.3496e-05,8.3496e-05
15,10199.9,0.64441,0.73401,0.84131,0.45871,0.31261,0.35496,0.29473,0.62756,0.73614,0.83903,4.4688e-05,4.4688e-05,4.4688e-05
