                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0243,                 2.1413,                0.92687,                0.35296,                0.19584,                0.17446,                0.13781,                0.78976,                 1.1822,                0.84943,             0.00019547,             0.00019547,             0.00019547
                      2,                0.80189,                 1.2959,                0.87584,                0.90556,                0.17674,                0.20359,                0.16382,                0.73223,                 1.0082,                0.84167,             0.00036563,             0.00036563,             0.00036563
                      3,                 0.7646,                 1.1528,                0.86834,                 0.6123,                0.25464,                0.25693,                0.21332,                0.65376,                0.92114,                0.83485,             0.00050993,             0.00050993,             0.00050993
                      4,                0.73458,                  1.038,                0.86557,                0.74911,                0.21708,                0.26935,                0.22114,                 0.6928,                0.82935,                0.83838,             0.00047158,             0.00047158,             0.00047158
                      5,                0.70447,                0.95518,                0.86096,                0.77746,                0.24821,                0.28541,                0.23869,                0.66717,                0.77757,                0.83518,             0.00043277,             0.00043277,             0.00043277
                      6,                0.68294,                0.92109,                0.84481,                0.68198,                0.32025,                0.34788,                0.29244,                0.59804,                0.75741,                 0.8282,             0.00039396,             0.00039396,             0.00039396
                      7,                0.65043,                0.85848,                0.83864,                0.80288,                0.30821,                0.33313,                0.27743,                0.59638,                0.73172,                0.82868,             0.00035515,             0.00035515,             0.00035515
                      8,                0.63507,                0.80121,                 0.8368,                0.73438,                0.36578,                0.35185,                 0.2923,                0.57378,                0.72331,                0.82609,             0.00031634,             0.00031634,             0.00031634
                      9,                 0.6224,                0.75999,                0.83364,                0.77986,                0.29314,                0.35112,                0.30011,                0.54638,                0.70374,                0.82115,             0.00027754,             0.00027754,             0.00027754
                     10,                0.61088,                0.72851,                0.82893,                0.62786,                0.37828,                0.37545,                0.31183,                0.57439,                0.66108,                0.82309,             0.00023873,             0.00023873,             0.00023873
                     11,                0.60163,                0.70786,                0.83009,                0.80969,                0.34464,                0.39057,                0.32875,                0.55467,                0.65547,                0.82287,             0.00019992,             0.00019992,             0.00019992
                     12,                  0.592,                0.67935,                0.82706,                0.70922,                0.34113,                0.38611,                0.32877,                0.53624,                0.64282,                 0.8196,             0.00016111,             0.00016111,             0.00016111
                     13,                0.58213,                0.64595,                 0.8254,                0.77211,                0.38283,                0.45065,                0.38646,                0.55053,                0.63506,                0.81904,              0.0001223,              0.0001223,              0.0001223
                     14,                0.57215,                0.63583,                0.82318,                0.62516,                0.45878,                0.48729,                0.41775,                0.52623,                0.61521,                0.81737,             8.3496e-05,             8.3496e-05,             8.3496e-05
                     15,                0.56217,                0.61106,                0.82276,                0.47671,                 0.4909,                0.43771,                0.37667,                 0.5242,                0.60442,                0.81671,             4.4688e-05,             4.4688e-05,             4.4688e-05
